team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
VGK,2024,VGK,VGK,Team Level,other,82,0.55,0.45,0.46,8358.0,110.32,34.22,7.59,17.62,3.65,58.8,32.11,31.65,34.22,31.65,104.0,50.0,53.0,207.0,36.0,11.0,1.0,15.0,0.0,60.0,32.0,68.0,118.0,1.0,2.0,97.0,22.0,12.0,33.0,64.0,37.0,53.0,2.67,4.9,26.64,4.0,7.0,25.0,207.0,154.0,154.0,16.0,2.27,3.0,3.0,33.49,33.49,31.35,130.52,27.88,9.78,23.12,4.48,75.3,37.44,24.38,27.88,24.38,106.0,72.0,75.0,253.0,18.0,12.0,2.0,22.0,4.0,78.0,44.0,88.0,160.0,2.0,4.0,96.0,22.0,14.0,29.0,90.0,46.0,42.0,3.61,5.49,18.77,4.0,4.0,10.0,253.0,178.0,178.0,11.0,2.97,4.64,4.64,26.21,26.21,23.7
VGK,2024,VGK,VGK,Team Level,all,82,0.54,0.51,0.52,298066.0,2662.75,275.76,177.08,637.44,88.61,1423.85,1036.26,259.83,278.14,262.14,2480.0,1159.0,1324.0,4963.0,274.0,274.0,32.0,543.0,8.0,1192.0,1348.0,2206.0,3365.0,189.0,431.0,2332.0,1488.0,401.0,1304.0,2625.0,676.0,338.0,77.74,83.76,114.25,93.0,97.0,84.0,5025.8,3639.0,3678.18,599.0,38.98,58.29,58.31,256.44,258.63,249.08,2467.91,232.08,162.86,606.62,83.86,1341.14,967.43,219.34,231.82,219.09,2141.0,1253.0,1395.0,4789.0,214.0,267.0,36.0,454.0,6.0,1183.0,1270.0,1927.0,3180.0,207.0,463.0,2294.0,1918.0,386.0,1265.0,2534.0,598.0,262.0,72.61,74.27,85.21,80.0,69.0,65.0,4758.7,3394.0,3382.52,590.0,35.82,56.59,56.83,211.07,210.81,204.32
VGK,2024,VGK,VGK,Team Level,5on5,82,0.53,0.51,0.52,256620.0,2215.6,191.44,141.23,553.25,73.89,1184.72,891.47,183.89,193.82,186.19,2037.0,999.0,1158.0,4194.0,184.0,234.0,28.0,468.0,8.0,986.0,1156.0,1853.0,2852.0,176.0,399.0,1930.0,1419.0,362.0,1192.0,2280.0,547.0,209.0,67.25,67.71,56.48,82.0,74.0,28.0,4256.8,3036.0,3075.18,560.0,29.39,48.24,48.27,172.56,174.76,171.73,2054.39,172.33,129.9,524.25,70.03,1106.75,824.74,164.79,172.07,164.53,1780.0,1048.0,1172.0,4000.0,155.0,221.0,27.0,395.0,2.0,959.0,1096.0,1625.0,2673.0,196.0,439.0,1901.0,1844.0,339.0,1163.0,2167.0,477.0,184.0,60.97,59.93,51.43,70.0,50.0,35.0,3969.7,2828.0,2816.52,551.0,26.94,43.09,43.28,155.99,155.73,152.89
VGK,2024,VGK,VGK,Team Level,4on5,82,0.16,0.13,0.15,15866.0,45.19,5.16,2.84,7.2,1.58,14.56,28.66,5.05,5.16,5.05,48.0,12.0,9.0,69.0,6.0,1.0,0.0,5.0,0.0,8.0,40.0,42.0,54.0,4.0,12.0,125.0,37.0,21.0,27.0,37.0,16.0,7.0,1.17,1.98,2.0,3.0,3.0,0.0,69.0,60.0,60.0,20.0,0.65,0.3,0.3,5.51,5.51,5.45,242.72,27.89,21.31,53.29,8.07,146.73,77.71,26.27,27.89,26.27,217.0,118.0,135.0,470.0,38.0,30.0,6.0,33.0,0.0,138.0,96.0,179.0,297.0,4.0,10.0,152.0,11.0,17.0,41.0,242.0,61.0,32.0,6.97,7.08,13.84,5.0,14.0,19.0,470.0,335.0,335.0,1.0,5.49,7.75,7.81,25.57,25.57,24.45
VGK,2024,VGK,VGK,Team Level,5on4,82,0.92,0.88,0.88,17222.0,291.62,44.94,25.41,59.37,9.48,165.77,84.03,39.25,44.94,39.25,291.0,98.0,104.0,493.0,48.0,28.0,3.0,55.0,0.0,138.0,120.0,243.0,341.0,8.0,18.0,180.0,10.0,6.0,52.0,244.0,76.0,69.0,6.65,9.17,29.12,4.0,13.0,31.0,493.0,389.0,389.0,3.0,6.67,6.74,6.74,44.87,44.87,40.56,40.27,3.98,1.88,5.97,1.27,12.36,27.54,3.9,3.98,3.9,38.0,15.0,13.0,66.0,3.0,4.0,1.0,4.0,0.0,8.0,34.0,35.0,50.0,5.0,10.0,145.0,41.0,16.0,32.0,35.0,14.0,4.0,1.06,1.77,1.16,1.0,1.0,1.0,66.0,53.0,53.0,27.0,0.43,1.11,1.11,3.3,3.3,3.28
TOR,2024,TOR,TOR,Team Level,other,82,0.52,0.47,0.49,12121.0,171.69,47.24,11.66,29.11,5.9,86.16,55.93,43.71,47.24,43.71,160.0,76.0,68.0,304.0,43.0,20.0,2.0,22.0,0.0,78.0,73.0,117.0,193.0,2.0,6.0,138.0,16.0,17.0,42.0,109.0,52.0,75.0,4.53,6.59,36.13,9.0,6.0,28.0,304.0,236.0,236.0,22.0,3.34,6.65,6.65,43.94,43.94,41.73,176.72,44.31,13.11,30.99,5.92,98.01,51.65,39.38,44.31,39.38,157.0,87.0,95.0,339.0,40.0,15.0,1.0,28.0,0.0,95.0,66.0,117.0,204.0,5.0,18.0,133.0,20.0,16.0,39.0,129.0,54.0,61.0,5.22,6.68,32.42,7.0,8.0,25.0,339.0,244.0,244.0,13.0,3.73,4.91,4.91,43.14,43.14,39.84
TOR,2024,TOR,TOR,Team Level,all,82,0.49,0.47,0.48,297635.0,2498.87,261.11,168.13,595.97,83.33,1342.19,967.26,247.42,262.62,248.87,2298.0,1120.0,1240.0,4658.0,267.0,243.0,28.0,464.0,5.0,1030.0,1409.0,2031.0,3151.0,276.0,618.0,2433.0,1962.0,378.0,1234.0,2487.0,626.0,305.0,71.21,78.74,111.16,88.0,95.0,84.0,4684.16,3418.0,3438.69,610.0,37.59,52.05,52.33,246.37,247.55,239.5,2672.42,266.66,177.42,657.52,90.63,1461.9,1048.86,251.32,266.57,251.24,2406.0,1297.0,1496.0,5199.0,229.0,291.0,27.0,516.0,2.0,1219.0,1446.0,2177.0,3474.0,260.0,603.0,2094.0,1711.0,381.0,1189.0,2765.0,634.0,304.0,76.34,79.56,110.77,84.0,76.0,69.0,5172.54,3703.0,3699.71,536.0,39.43,58.63,58.81,247.28,247.26,239.04
TOR,2024,TOR,TOR,Team Level,5on5,82,0.5,0.47,0.48,243777.0,1950.1,160.95,124.63,489.65,64.83,1053.15,776.8,155.15,162.45,156.61,1792.0,878.0,1023.0,3693.0,169.0,178.0,15.0,372.0,5.0,791.0,1155.0,1623.0,2501.0,258.0,577.0,1887.0,1883.0,328.0,1088.0,2039.0,475.0,156.0,56.74,60.07,44.13,67.0,79.0,23.0,3719.16,2670.0,2690.69,540.0,25.83,34.82,35.63,151.16,152.33,150.01,2066.84,162.14,129.81,536.76,70.5,1134.44,843.34,156.42,162.05,156.33,1845.0,1032.0,1226.0,4103.0,136.0,225.0,21.0,406.0,2.0,908.0,1200.0,1709.0,2741.0,230.0,532.0,1612.0,1631.0,324.0,1048.0,2265.0,449.0,163.0,59.95,56.46,45.73,68.0,49.0,19.0,4076.54,2877.0,2873.71,495.0,26.84,39.86,40.34,148.65,148.63,146.55
TOR,2024,TOR,TOR,Team Level,4on5,82,0.08,0.11,0.13,21651.0,53.94,4.32,2.56,8.09,1.68,17.46,38.89,4.26,4.32,4.26,58.0,15.0,6.0,79.0,5.0,0.0,0.0,7.0,0.0,11.0,50.0,53.0,68.0,7.0,17.0,200.0,45.0,22.0,39.0,55.0,14.0,4.0,1.45,1.83,1.04,4.0,0.0,1.0,79.0,73.0,73.0,37.0,0.6,0.0,0.0,4.92,4.92,4.84,357.96,52.57,30.6,78.17,11.76,206.47,106.42,48.22,52.57,48.22,324.0,162.0,172.0,658.0,48.0,42.0,5.0,76.0,0.0,198.0,122.0,276.0,438.0,19.0,41.0,198.0,18.0,17.0,79.0,307.0,111.0,68.0,9.44,13.56,29.57,9.0,15.0,24.0,658.0,486.0,486.0,7.0,7.97,11.66,11.36,49.18,49.18,46.38
TOR,2024,TOR,TOR,Team Level,5on4,82,0.86,0.85,0.82,20086.0,323.14,48.6,29.28,69.12,10.93,185.43,95.64,44.29,48.6,44.29,288.0,151.0,143.0,582.0,50.0,45.0,11.0,63.0,0.0,150.0,131.0,238.0,389.0,9.0,18.0,208.0,18.0,11.0,65.0,284.0,85.0,70.0,8.48,10.25,29.87,8.0,10.0,32.0,582.0,439.0,439.0,11.0,7.82,10.58,10.05,46.37,46.37,42.91,70.9,7.64,3.89,11.6,2.46,22.96,47.45,7.3,7.64,7.3,80.0,16.0,3.0,99.0,5.0,9.0,0.0,6.0,0.0,18.0,58.0,75.0,91.0,6.0,12.0,151.0,42.0,24.0,23.0,64.0,20.0,12.0,1.73,2.87,3.04,0.0,4.0,1.0,99.0,96.0,96.0,21.0,0.88,2.21,2.21,6.32,6.32,6.26
